Attraction Name,Park Name,Timings,Height Restrictions,Location Lat,Location Lng
Reflections of China,EPCOT,09:00:00 to 21:00:00,['any-height'],28.369791,-81.546381
Typhoon Lagoon Surf Pool,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['any-height'],28.3659144638,-81.5299641145
Maharajah Jungle Trek,Disney's Animal Kingdom Theme Park,09:00:00 to 18:30:00,['any-height'],28.359379,-81.589019
The Magic Carpets of Aladdin,Magic Kingdom Park,08:00:00 to 23:00:00,['any-height'],28.41843,-81.583472
Walt Disney World Railroad - Frontierland,Magic Kingdom Park,09:00:00 to 19:00:00,['any-height'],28.41969,-81.585078
TRON Lightcycle / Run,Magic Kingdom Park,08:00:00 to 23:00:00,['48-inches-122-cm-or-taller'],28.419625,-81.577985
Soarin' Around the World,EPCOT,"08:30:00 to 09:00:00, 09:00:00 to 21:00:00",['40-inches-102-cm-or-taller'],28.373592,-81.552248
Na'vi River Journey,Disney's Animal Kingdom Theme Park,"07:30:00 to 08:00:00, 08:00:00 to 20:00:00",['any-height'],28.355257,-81.591641
Vultures - Disney Animals,Disney's Animal Kingdom Theme Park,,,28.357602,-81.590752
Frozen at Walt Disney World Resort,EPCOT,,['any-height'],,
Invertebrates - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.355478,-81.590128
Lemurs - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.357555,-81.590224
Keelhaul Falls,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['any-height'],28.3654943759,-81.5305106342
Lightning McQueen's Racing Academy,Disney's Hollywood Studios,09:00:00 to 20:30:00,['any-height'],28.360035,-81.560707
Zebras - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.355478,-81.590106
Walt Disney's Carousel of Progress,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 22:00:00",['any-height'],28.4180310951,-81.5790083064
Reef Fish - Disney Animals,EPCOT,,['any-height'],28.375631,-81.550795
Tom Sawyer Island,Magic Kingdom Park,11:00:00 to 18:00:00,['any-height'],28.419503,-81.58428
Mayday Falls,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['any-height'],28.3656245494,-81.530521363
Ankole Cattle - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.359414,-81.59224
Casey Jr. Splash 'N' Soak Station,Magic Kingdom Park,08:00:00 to 23:00:00,['any-height'],28.4209221723,-81.5786757124
Kali River Rapids,Disney's Animal Kingdom Theme Park,09:00:00 to 20:00:00,['38-inches-97-cm-or-taller'],28.3587834288,-81.5889412165
Horses - Disney Animals,Magic Kingdom Park,,['any-height'],28.417436,-81.581216
Slinky Dog Dash,Disney's Hollywood Studios,"08:30:00 to 09:00:00, 09:00:00 to 21:30:00",['38-inches-97-cm-or-taller'],28.356245,-81.562786
Miss Adventure Falls,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['any-height'],28.366796,-81.528804
Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.355384,-81.590135
Journey Into Imagination With Figment,EPCOT,09:00:00 to 21:00:00,['any-height'],28.372994,-81.551401
African Hogs - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.359414,-81.592171
Okapis - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.359414,-81.592171
Pirates of the Caribbean,Magic Kingdom Park,08:00:00 to 23:00:00,['any-height'],28.4179699,-81.584225
Beauty and the Beast Sing-Along,EPCOT,10:00:00 to 18:30:00,['any-height'],28.368864,-81.552978
Country Bear Jamboree,Magic Kingdom Park,00:00:00 to 23:59:00,['any-height'],28.4187861348,-81.5837222887
Vacation Fun - An Original Animated Short with Mickey & Minnie,Disney's Hollywood Studios,09:00:00 to 20:30:00,['any-height'],28.356316,-81.559031
Melt-Away Bay,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['any-height'],28.3513855054,-81.5745799793
Tomorrowland Speedway,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['32-inches-81-cm-or-taller'],28.419368,-81.579302
Jungle Cruise,Magic Kingdom Park,08:00:00 to 23:00:00,['any-height'],28.41797818,-81.5834393157
Walt Disney World Railroad - Fantasyland,Magic Kingdom Park,09:00:00 to 19:00:00,['any-height'],28.420934,-81.578368
Humunga Kowabunga,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['48-inches-122-cm-or-taller'],28.3665795566,-81.5303215741
Impressions de France,EPCOT,"08:30:00 to 09:00:00, 09:00:00 to 09:30:00, 19:00:00 to 20:45:00",['any-height'],28.368864,-81.552978
Kidcot Fun Stops,EPCOT,10:00:00 to 21:00:00,['any-height'],28.3676026,-81.549739
"Walt Disney World Railroad - Main Street, U.S.A.",Magic Kingdom Park,09:00:00 to 19:00:00,['any-height'],28.416543,-81.581204
The Barnstormer,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['35-inches-89-cm-or-taller'],28.4207661576,-81.5783907473
Muppet*Vision 3D,Disney's Hollywood Studios,09:00:00 to 20:30:00,['any-height'],28.3550644708,-81.5594643904
Peter Pan's Flight,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.4202640272,-81.5818916811
Seven Dwarfs Mine Train,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['38-inches-97-cm-or-taller'],28.42037,-81.58031
Enchanted Tales with Belle,Magic Kingdom Park,10:30:00 to 19:30:00,['any-height'],28.4209906,-81.58093
"ImageWorks - The ""What If"" Labs",EPCOT,09:00:00 to 21:00:00,['any-height'],28.372774,-81.551121
Manatees - Disney Animals,EPCOT,,['any-height'],28.375631,-81.550828
Remy's Ratatouille Adventure,EPCOT,"08:30:00 to 09:00:00, 09:00:00 to 21:00:00",['any-height'],28.36825,-81.553097
Spaceship Earth,EPCOT,"08:30:00 to 09:00:00, 09:00:00 to 21:00:00",['any-height'],28.375583,-81.549401
Tike's Peak,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['48-inches-122-cm-or-shorter'],28.3529402305,-81.5745699406
Cross Country Creek,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['any-height'],28.3513399635,-81.5736767258
Meerkats - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.360758,-81.593059
It's Tough to be a Bug!,Disney's Animal Kingdom Theme Park,"07:30:00 to 08:00:00, 08:00:00 to 20:00:00",['any-height'],28.357488,-81.590118
A Pirate's Adventure ~ Treasures of the Seven Seas,Magic Kingdom Park,12:00:00 to 18:00:00,['any-height'],28.4183725,-81.584669
Cinderella Castle,Magic Kingdom Park,08:00:00 to 23:00:00,,28.4194549043,-81.5811809
Gorilla Falls Exploration Trail,Disney's Animal Kingdom Theme Park,08:30:00 to 18:30:00,['any-height'],28.359954,-81.592149
Marketplace Carousel,Disney Springs,10:00:00 to 23:00:00,['any-height'],28.372854,-81.514925
Tomorrowland Transit Authority PeopleMover,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.418155,-81.579033
The Animation Experience at Conservation Station,Disney's Animal Kingdom Theme Park,"10:00:00 to 10:00:00, 10:45:00 to 10:45:00, 11:30:00 to 11:30:00, 12:15:00 to 12:15:00, 13:45:00 to 13:45:00, 14:30:00 to 14:30:00, 15:15:00 to 15:15:00, 16:00:00 to 16:00:00, 16:45:00 to 16:45:00",['any-height'],28.365188,-81.588669
Teamboat Springs,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['any-height'],28.351967,-81.575911
Coral Reefs - Disney Animals,EPCOT,,['any-height'],28.375631,-81.550866
Living with the Land,EPCOT,"08:30:00 to 09:00:00, 09:00:00 to 21:00:00",['any-height'],28.374245,-81.552301
Giraffes - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.359414,-81.59224
Slush Gusher,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['48-inches-122-cm-or-taller'],28.3518728427,-81.5757836401
The Many Adventures of Winnie the Pooh,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.420212,-81.580266
Leave A Legacy,EPCOT,09:00:00 to 21:00:00,['any-height'],28.37649778,-81.54940289
Asian Birds - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.3598594408459,-81.5892225147874
Star Wars Launch Bay,Disney's Hollywood Studios,10:00:00 to 18:00:00,['any-height'],28.357849,-81.560996
Tiana's Bayou Adventure – Coming Summer 2024,Magic Kingdom Park,,['40-inches-102-cm-or-taller'],28.419418,-81.58498
Tigers - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.359943,-81.589736
Main Street Vehicles,Magic Kingdom Park,,['any-height'],28.4168698711,-81.5815081252
Star Wars Photo Opportunities,,,,,
Monsters Inc. Laugh Floor,Magic Kingdom Park,09:00:00 to 22:00:00,['any-height'],28.4183977566,-81.5797358751
The Seas with Nemo & Friends,EPCOT,"08:30:00 to 09:00:00, 09:00:00 to 21:00:00",['any-height'],28.374904,-81.550852
Dreamers Point – New!,EPCOT,,['any-height'],28.374369354306555,-81.54939221991685
Mission: SPACE,EPCOT,"08:30:00 to 09:00:00, 09:00:00 to 21:00:00",['40-inches-102-cm-or-taller'],28.373927,-81.547156
Swiss Family Treehouse,Magic Kingdom Park,08:00:00 to 23:00:00,['any-height'],28.4184325517,-81.5827982677
TriceraTop Spin,Disney's Animal Kingdom Theme Park,"07:30:00 to 08:00:00, 08:00:00 to 20:00:00",['any-height'],28.356503,-81.588074
Disney and Pixar Short Film Festival,EPCOT,09:00:00 to 21:00:00,['any-height'],28.37263,-81.55115
"Journey of Water, Inspired by Moana – New!",EPCOT,"08:30:00 to 09:00:00, 09:00:00 to 21:00:00",['any-height'],28.374691,-81.550378
Kilimanjaro Safaris,Disney's Animal Kingdom Theme Park,08:15:00 to 19:00:00,['any-height'],28.359331,-81.59228
Project Tomorrow: Inventing the Wonders of the Future,EPCOT,09:00:00 to 21:00:00,['any-height'],28.37476,-81.549401
The Boneyard,Disney's Animal Kingdom Theme Park,09:00:00 to 20:00:00,['any-height'],28.3566787564,-81.5884791864
Kangaroos - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.357363003526,-81.5906622937138
Asian Small-Clawed Otters - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.357331,-81.590983
Walt Disney Presents,Disney's Hollywood Studios,09:00:00 to 20:30:00,['any-height'],28.35686,-81.560982
Chairlift,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['32-inches-81-cm-or-taller'],28.3521916073,-81.5742527498
Cotton-Top Tamarins - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.357901,-81.591501
Komodo Dragons - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.35944,-81.589237
"""it's a small world""",Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.4204816402,-81.5820392026
Bay Slides,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['60-inches-152-cm-or-shorter'],28.365402,-81.529838
Dino-Sue,Disney's Animal Kingdom Theme Park,08:00:00 to 20:00:00,['any-height'],28.355745,-81.588646
